file,cam_mean,cam_bbox_mean,CAM@BBox
slice_036_2.npy,0.560587465763092,0.5953165888786316,1.0619512796401978
slice_070_2.npy,0.5026461482048035,0.531133770942688,1.0566753149032593
slice_056_1.npy,0.5466175675392151,0.6453918218612671,1.1807008981704712
slice_092_2.npy,0.5253187417984009,0.39351722598075867,0.7491018176078796
slice_049_2.npy,0.621906042098999,0.47817307710647583,0.7688831686973572
slice_030_2.npy,0.5837718844413757,0.6281960606575012,1.0760985612869263
slice_084_2.npy,0.5974069833755493,0.4626270532608032,0.774391770362854
slice_077_2.npy,0.5972023606300354,0.3516923487186432,0.5888997912406921
slice_089_1.npy,0.6360836625099182,0.6332088708877563,0.995480477809906
slice_031_1.npy,0.581365704536438,0.48326364159584045,0.8312558531761169
