pth_path,model,version,cbam,mga,augmentation,loss,scheduler
best_aug_resnet34_baseline.pth,resnet34,plain,False,False,Unknown,CEL,None
best_aug_densenet121_baseline.pth,densenet121,plain,False,False,Unknown,CEL,None
best_aug_densenet121_blur.pth,densenet121,plain,False,False,Unknown,CEL,None
best_aug_resnet34_flip_rotate.pth,resnet34,plain,False,False,Unknown,CEL,None
best_model_resnet18_3ch.pth,resnet18,plain,False,False,Unknown,CEL,None
best_aug_resnet34_total.pth,resnet34,plain,False,False,Unknown,CEL,None
best_model_resnet34_pretatin.pth,resnet34,plain,False,False,Unknown,CEL,None
best_aug_densenet121_total.pth,densenet121,plain,False,False,Unknown,CEL,None
best_model_densenet121.pth,densenet121,plain,False,False,Unknown,CEL,None
best_model_resnet18.pth,resnet18,plain,False,False,Unknown,CEL,None
best_model_resnet34.pth,resnet34,plain,False,False,Unknown,CEL,None
best_aug_resnet18_total.pth,resnet18,plain,False,False,Unknown,CEL,None
aug_densenet121_1.pth,densenet121,plain,False,False,Unknown,CEL,None
best_aug_densenet121_flip_rotate.pth,densenet121,plain,False,False,Unknown,CEL,None
best_aug_resnet18_blur.pth,resnet18,plain,False,False,Unknown,CEL,None
best_model_resnet34_3ch.pth,resnet34,plain,False,False,Unknown,CEL,None
best_aug_resnet18_baseline.pth,resnet18,plain,False,False,Unknown,CEL,None
best_aug_resnet18_flip_rotate.pth,resnet18,plain,False,False,Unknown,CEL,None
best_aug_resnet34_blur.pth,resnet34,plain,False,False,Unknown,CEL,None
best_model_effnetv2s.pth,unknown,plain,False,False,Unknown,CEL,None
model_aug_resnet18.pth,resnet18,plain,False,False,Unknown,CEL,None
